transaction_id,date,category,product,revenue,cogs,region,gross_profit,net_profit,net_margin
TXN-00000,2023-04-13,Hardware,Product B,0.0,1983.33,Unknown,-1983.33,-1983.33,0.0
TXN-00001,2023-12-15,Consulting,Product A,84.05,335.6,EMEA,-251.55,-268.36,-3.1929
TXN-00002,2023-09-28,Consulting,Product C,1101.61,1386.64,North America,-285.0300000000002,-505.3520000000002,-0.4587
TXN-00003,2023-04-17,Software,Product A,3334.44,1351.84,EMEA,1982.6000000000001,1315.712,0.3946
TXN-00004,2023-03-13,Hardware,Product A,2085.43,1960.11,North America,125.31999999999994,-291.7660000000001,-0.1399
TXN-00005,2023-07-08,Consulting,Product B,2041.91,1971.35,North America,70.56000000000017,-337.8219999999999,-0.1654
TXN-00006,2023-01-21,Electronics,Product A,4428.71,1376.49,EMEA,3052.2200000000003,2166.478,0.4892
TXN-00007,2023-04-13,Hardware,Product B,4483.04,494.79,EMEA,3988.25,3091.642,0.6896
TXN-00008,2023-05-02,Software,Product C,4550.42,1599.13,North America,2951.29,2041.206,0.4486
TXN-00009,2023-08-03,Software,Product C,1603.7,222.99,North America,1380.71,1059.97,0.661
TXN-00010,2023-11-27,Software,Product C,3470.73,1563.59,North America,1907.14,1212.9940000000001,0.3495
TXN-00011,2023-03-29,Electronics,Product A,1394.58,1821.29,North America,-426.71000000000004,-705.626,-0.506
TXN-00012,2023-04-10,Consulting,Product B,993.52,771.84,APAC,221.67999999999995,22.975999999999942,0.0231
TXN-00013,2023-12-26,Electronics,Product C,963.93,1264.96,EMEA,-301.0300000000001,-493.8160000000001,-0.5123
TXN-00014,2023-06-01,Hardware,Product B,1743.43,865.98,North America,877.45,528.764,0.3033
TXN-00015,2023-05-11,Software,Product B,2178.29,881.15,EMEA,1297.1399999999999,861.4819999999999,0.3955
TXN-00016,2023-05-30,Electronics,Product C,4163.2,627.64,North America,3535.56,2702.92,0.6492
TXN-00017,2023-11-05,Electronics,Product C,643.46,1526.64,EMEA,-883.1800000000001,-1011.8720000000001,-1.5725
TXN-00018,2023-09-15,Consulting,Product B,3687.88,1872.99,EMEA,1814.89,1077.314,0.2921
TXN-00019,2023-12-10,Consulting,Product C,2680.7,1882.09,North America,798.6099999999999,262.4699999999999,0.0979
TXN-00020,2023-10-21,Software,Product B,1475.33,357.81,North America,1117.52,822.454,0.5575
TXN-00021,2023-07-11,Electronics,Product B,2489.46,1750.74,EMEA,738.72,240.82799999999997,0.0967
TXN-00022,2023-10-04,Electronics,Product C,1534.71,1477.49,EMEA,57.22000000000003,-249.72199999999998,-0.1627
TXN-00023,2023-06-10,Consulting,Product A,3000.61,513.15,EMEA,2487.46,1887.338,0.629
TXN-00024,2023-11-10,Electronics,Product C,2197.53,143.9,APAC,2053.63,1614.124,0.7345
TXN-00025,2023-01-22,Electronics,Product A,863.81,543.31,North America,320.5,147.738,0.171
TXN-00026,2023-09-10,Electronics,Product B,627.09,1825.29,APAC,-1198.1999999999998,-1323.618,-2.1107
TXN-00027,2023-08-24,Consulting,Product B,2756.14,1270.03,APAC,1486.11,934.882,0.3392
TXN-00028,2023-12-11,Software,Product A,4516.94,1444.9,North America,3072.0399999999995,2168.6519999999996,0.4801
