transaction_id,date,category,product,revenue,cogs,region
TXN-00000,2023-04-13,Hardware,Product B,,1983.33,
TXN-00001,2023-12-15,Consulting,Product A,84.05,335.6,EMEA
TXN-00002,2023-09-28,Consulting,Product C,1101.61,1386.64,North America
TXN-00003,2023-04-17,Software,Product A,3334.44,1351.84,EMEA
TXN-00004,2023-03-13,Hardware,Product A,2085.43,1960.11,North America
TXN-00005,2023-07-08,Consulting,Product B,2041.91,1971.35,North America
TXN-00006,2023-01-21,Electronics,Product A,4428.71,1376.49,EMEA
TXN-00007,2023-04-13,Hardware,Product B,4483.04,494.79,EMEA
TXN-00008,2023-05-02,Software,Product C,4550.42,1599.13,North America
TXN-00009,2023-08-03,Software,Product C,1603.7,222.99,North America
TXN-00010,2023-11-27,Software,Product C,3470.73,1563.59,North America
TXN-00011,2023-03-29,Electronics,Product A,1394.58,1821.29,North America
TXN-00012,2023-04-10,Consulting,Product B,993.52,771.84,APAC
TXN-00013,2023-12-26,Electronics,Product C,963.93,1264.96,EMEA
TXN-00014,2023-06-01,Hardware,Product B,1743.43,865.98,North America
TXN-00015,2023-05-11,Software,Product B,2178.29,881.15,EMEA
TXN-00016,2023-05-30,Electronics,Product C,4163.2,627.64,North America
TXN-00017,2023-11-05,Electronics,Product C,643.46,1526.64,EMEA
TXN-00018,2023-09-15,Consulting,Product B,3687.88,1872.99,EMEA
TXN-00019,2023-12-10,Consulting,Product C,2680.7,1882.09,North America
TXN-00020,2023-10-21,Software,Product B,1475.33,357.81,North America
TXN-00021,2023-07-11,Electronics,Product B,2489.46,1750.74,EMEA
TXN-00022,2023-10-04,Electronics,Product C,1534.71,1477.49,EMEA
TXN-00023,2023-06-10,Consulting,Product A,3000.61,513.15,EMEA
TXN-00024,2023-11-10,Electronics,Product C,2197.53,143.9,APAC
TXN-00025,2023-01-22,Electronics,Product A,863.81,543.31,North America
TXN-00026,2023-09-10,Electronics,Product B,627.09,1825.29,APAC
TXN-00027,2023-08-24,Consulting,Product B,2756.14,1270.03,APAC
TXN-00028,2023-12-11,Software,Product A,4516.94,1444.9,North America
TXN-00029,2023-02-18,Hardware,Product B,1752.59,521.73,North America
TXN-00030,2023-02-28,Software,Product A,3678.35,1441.58,APAC
TXN-00031,2023-06-19,Hardware,Product A,3310.37,65.96,North America
TXN-00032,2023-07-07,Electronics,Product B,4661.2,756.89,EMEA
TXN-00033,2023-09-28,Software,Product A,4113.86,1257.24,EMEA
TXN-00034,2023-07-09,Hardware,Product C,2854.7,300.73,APAC
TXN-00035,2023-06-24,Consulting,Product C,3302.3,1647.78,APAC
TXN-00036,2023-02-20,Consulting,Product B,4497.01,477.71,North America
TXN-00037,2023-12-30,Software,Product B,2027.62,1308.04,North America
TXN-00038,2023-02-24,Software,Product A,1667.63,816.34,APAC
TXN-00039,2023-09-01,Electronics,Product A,103.51,1196.13,APAC
TXN-00040,2023-11-16,Software,Product A,4141.43,223.83,EMEA
TXN-00041,2023-05-11,Electronics,Product A,4014.85,43.66,EMEA
TXN-00042,2023-11-03,Electronics,Product C,567.05,1820.03,North America
TXN-00043,2023-05-15,Consulting,Product C,2905.44,546.56,EMEA
TXN-00044,2023-01-21,Consulting,Product B,2346.71,1641.16,North America
TXN-00045,2023-11-25,Hardware,Product A,637.61,1998.71,North America
TXN-00046,2023-06-16,Consulting,Product A,4903.81,430.75,North America
TXN-00047,2023-10-01,Consulting,Product B,1112.74,537.69,EMEA
TXN-00048,2023-03-30,Software,Product A,382.81,1329.09,APAC
TXN-00049,2023-11-12,Consulting,Product A,2994.49,1931.24,APAC
TXN-00050,2023-01-14,Hardware,Product A,,1832.47,EMEA
TXN-00051,2023-08-30,Software,Product A,210.6,1010.72,APAC
TXN-00052,2023-09-22,Hardware,Product A,3310.65,1592.27,North America
TXN-00053,2023-12-12,Consulting,Product B,2684.84,280.13,APAC
TXN-00054,2023-02-22,Hardware,Product A,561.16,1955.1,EMEA
TXN-00055,2023-12-06,Software,Product B,903.99,1929.06,APAC
TXN-00056,2023-04-02,Electronics,Product A,2861.47,335.82,North America
TXN-00057,2023-09-21,Hardware,Product C,1516.97,605.85,North America
TXN-00058,2023-02-04,Hardware,Product C,4694.66,209.31,EMEA
TXN-00059,2023-07-25,Software,Product C,4102.76,550.72,EMEA
TXN-00060,2023-03-22,Software,Product C,4918.66,1633.75,EMEA
TXN-00061,2023-02-19,Hardware,Product B,1335.37,762.85,North America
TXN-00062,2023-12-26,Consulting,Product B,4850.13,185.91,APAC
TXN-00063,2023-01-02,Hardware,Product A,2184.61,691.03,APAC
TXN-00064,2023-02-23,Software,Product C,1770.22,1962.95,EMEA
TXN-00065,2023-04-16,Electronics,Product B,299.23,1263.07,APAC
TXN-00066,2023-09-17,Electronics,Product A,311.19,838.16,APAC
TXN-00067,2023-11-06,Consulting,Product A,3475.46,341.41,EMEA
TXN-00068,2023-07-10,Hardware,Product B,2316.75,1972.49,EMEA
TXN-00069,2023-08-06,Electronics,Product C,1171.28,1643.49,North America
TXN-00070,2023-02-13,Hardware,Product A,3089.15,570.14,North America
TXN-00071,2023-06-11,Software,Product C,1301.65,149.44,North America
TXN-00072,2023-07-21,Electronics,Product C,2909.28,122.68,North America
TXN-00073,2023-09-27,Consulting,Product C,1828.08,249.55,APAC
TXN-00074,2023-12-17,Software,Product A,4126.58,1165.73,APAC
TXN-00075,2023-10-31,Consulting,Product C,4112.45,1858.24,North America
TXN-00076,2023-09-28,Software,Product A,2412.88,998.52,North America
TXN-00077,2023-08-03,Electronics,Product C,1786.55,1687.46,EMEA
TXN-00078,2023-09-09,Consulting,Product A,1844.67,897.31,APAC
TXN-00079,2023-07-09,Consulting,Product C,4038.29,1420.08,APAC
TXN-00080,2023-10-23,Software,Product B,1674.49,1466.43,North America
TXN-00081,2023-08-01,Consulting,Product C,1084.84,356.19,APAC
TXN-00082,2023-07-27,Software,Product C,469.21,728.82,EMEA
TXN-00083,2023-08-25,Software,Product A,2360.13,1278.23,EMEA
TXN-00084,2023-12-04,Software,Product A,2436.55,150.69,APAC
TXN-00085,2023-02-22,Software,Product C,4212.5,729.46,North America
TXN-00086,2023-10-07,Electronics,Product B,1145.13,1074.25,APAC
TXN-00087,2023-08-05,Software,Product B,1935.91,1992.49,EMEA
TXN-00088,2023-09-09,Hardware,Product A,4051.61,954.32,North America
TXN-00089,2023-07-07,Consulting,Product B,4126.94,1633.95,APAC
TXN-00090,2023-02-10,Hardware,Product C,1953.82,869.81,North America
TXN-00091,2023-06-06,Electronics,Product A,2322.66,1594.82,North America
TXN-00092,2023-01-15,Hardware,Product C,1551.27,1194.88,EMEA
TXN-00093,2023-10-28,Consulting,Product A,4666.15,1774.32,North America
TXN-00094,2023-03-06,Hardware,Product A,637.29,827.78,APAC
TXN-00095,2023-12-11,Electronics,Product A,4672.06,1212.57,North America
TXN-00096,2023-11-23,Software,Product A,3435.14,1263.74,North America
TXN-00097,2023-01-09,Hardware,Product B,2681.28,840.59,APAC
TXN-00098,2023-12-10,Electronics,Product C,211.66,297.18,EMEA
TXN-00099,2023-05-09,Electronics,Product C,2404.2,196.18,EMEA
TXN-00100,2023-05-16,Consulting,Product C,,43.18,
TXN-00101,2023-03-04,Consulting,Product A,848.03,1748.33,APAC
TXN-00102,2023-05-19,Hardware,Product B,3299.23,480.59,EMEA
TXN-00103,2023-03-22,Software,Product C,4857.2,430.9,North America
TXN-00104,2023-06-12,Electronics,Product B,2832.83,1474.71,APAC
TXN-00105,2023-10-16,Hardware,Product A,3588.03,646.83,North America
TXN-00106,2023-09-18,Electronics,Product C,388.83,1017.03,APAC
TXN-00107,2023-08-19,Electronics,Product B,2117.45,333.4,EMEA
TXN-00108,2023-02-10,Software,Product A,625.97,1919.89,North America
TXN-00109,2023-01-28,Software,Product B,3083.34,1704.65,North America
TXN-00110,2023-05-15,Hardware,Product C,4695.49,1728.94,APAC
TXN-00111,2023-07-20,Software,Product C,3325.8,819.48,North America
TXN-00112,2023-11-24,Software,Product A,430.18,1527.1,APAC
TXN-00113,2023-09-25,Hardware,Product A,1805.6,296.31,EMEA
TXN-00114,2023-02-02,Software,Product A,2775.78,27.15,North America
TXN-00115,2023-02-17,Consulting,Product B,2045.88,49.75,APAC
TXN-00116,2023-03-03,Electronics,Product B,4176.54,1177.34,North America
TXN-00117,2023-08-04,Electronics,Product B,4082.62,916.24,APAC
TXN-00118,2023-10-20,Electronics,Product A,3078.56,1040.85,APAC
TXN-00119,2023-04-09,Electronics,Product C,1898.62,24.85,APAC
TXN-00120,2023-06-21,Hardware,Product C,1313.92,851.15,EMEA
TXN-00121,2023-12-26,Electronics,Product B,574.08,1438.96,North America
TXN-00122,2023-08-02,Electronics,Product B,1806.74,890.96,EMEA
TXN-00123,2023-02-04,Electronics,Product C,2095.2,1467.12,APAC
TXN-00124,2023-08-15,Electronics,Product C,3395.32,473.71,APAC
TXN-00125,2023-04-11,Consulting,Product B,3307.89,1628.15,EMEA
TXN-00126,2023-05-11,Electronics,Product B,397.04,1180.98,EMEA
TXN-00127,2023-09-14,Consulting,Product C,2006.53,429.42,North America
TXN-00128,2023-01-05,Hardware,Product A,949.81,481.07,APAC
TXN-00129,2023-08-06,Software,Product B,826.22,1259.78,EMEA
TXN-00130,2023-09-12,Electronics,Product C,4145.15,1661.58,APAC
TXN-00131,2023-12-25,Software,Product C,257.48,837.1,APAC
TXN-00132,2023-10-10,Software,Product C,2124.96,524.02,North America
TXN-00133,2023-07-26,Hardware,Product C,882.61,1735.35,North America
TXN-00134,2023-01-15,Software,Product A,4402.68,1341.84,North America
TXN-00135,2023-12-12,Consulting,Product C,2807.35,901.69,EMEA
TXN-00136,2023-02-11,Software,Product B,1195.33,980.92,APAC
TXN-00137,2023-06-28,Software,Product A,2537.02,416.47,EMEA
TXN-00138,2023-03-04,Software,Product C,3670.86,1257.34,EMEA
TXN-00139,2023-12-18,Electronics,Product A,4792.68,723.9,North America
TXN-00140,2023-08-19,Electronics,Product B,1141.21,1991.33,APAC
TXN-00141,2023-08-29,Consulting,Product C,4436.6,965.57,APAC
TXN-00142,2023-02-21,Consulting,Product B,4674.81,976.91,North America
TXN-00143,2023-04-06,Electronics,Product C,4586.28,1136.05,APAC
TXN-00144,2023-08-10,Consulting,Product C,3195.3,1834.34,North America
TXN-00145,2023-08-19,Electronics,Product C,3167.61,1603.63,EMEA
TXN-00146,2023-08-25,Hardware,Product C,2045.89,907.75,EMEA
TXN-00147,2023-05-23,Software,Product C,3774.37,1440.21,North America
TXN-00148,2023-06-20,Software,Product A,2679.91,1176.61,EMEA
TXN-00149,2023-01-29,Consulting,Product C,3403.32,989.81,EMEA
TXN-00150,2023-02-05,Electronics,Product C,,392.71,North America
TXN-00151,2023-01-13,Electronics,Product A,3670.91,933.23,EMEA
TXN-00152,2023-06-09,Consulting,Product A,4131.13,499.18,APAC
TXN-00153,2023-11-23,Electronics,Product A,774.86,1830.54,EMEA
TXN-00154,2023-07-06,Hardware,Product A,4173.0,677.46,North America
TXN-00155,2023-08-31,Software,Product A,2724.47,1905.01,APAC
TXN-00156,2023-03-27,Consulting,Product A,4231.1,1070.78,APAC
TXN-00157,2023-10-11,Consulting,Product C,2184.94,1266.77,EMEA
TXN-00158,2023-03-07,Electronics,Product C,1926.25,1090.45,APAC
TXN-00159,2023-06-19,Consulting,Product B,4579.55,267.47,North America
TXN-00160,2023-02-14,Hardware,Product C,1293.29,757.88,APAC
TXN-00161,2023-03-03,Electronics,Product C,4228.85,207.3,EMEA
TXN-00162,2023-05-14,Electronics,Product A,2445.9,1249.68,EMEA
TXN-00163,2023-10-11,Electronics,Product A,2594.77,899.28,APAC
TXN-00164,2023-01-28,Electronics,Product C,1576.92,1558.19,North America
TXN-00165,2023-04-18,Hardware,Product B,2886.56,448.74,North America
TXN-00166,2023-02-13,Electronics,Product A,1659.8,337.49,EMEA
TXN-00167,2023-12-06,Consulting,Product C,244.38,818.6,EMEA
TXN-00168,2023-10-13,Hardware,Product C,1396.39,1853.9,North America
TXN-00169,2023-11-27,Software,Product B,81.58,1423.74,APAC
TXN-00170,2023-05-08,Software,Product B,4892.86,843.66,APAC
TXN-00171,2023-12-14,Consulting,Product A,4830.45,1039.37,APAC
TXN-00172,2023-08-19,Consulting,Product B,2006.02,177.58,APAC
TXN-00173,2023-07-09,Hardware,Product C,3655.44,1969.31,North America
TXN-00174,2023-08-13,Software,Product C,1761.74,1336.15,EMEA
TXN-00175,2023-10-10,Software,Product B,3371.91,577.95,EMEA
TXN-00176,2023-05-01,Software,Product B,4036.88,1175.76,APAC
TXN-00177,2023-04-26,Software,Product B,4736.44,227.87,North America
TXN-00178,2023-08-21,Software,Product B,2031.05,1932.01,North America
TXN-00179,2023-09-16,Electronics,Product A,3927.33,357.82,APAC
TXN-00180,2023-12-25,Consulting,Product B,1366.35,1299.58,APAC
TXN-00181,2023-07-17,Electronics,Product A,4952.14,498.45,APAC
TXN-00182,2023-05-17,Software,Product C,177.56,1437.95,EMEA
TXN-00183,2023-11-14,Hardware,Product B,3037.47,1555.87,APAC
TXN-00184,2023-06-14,Hardware,Product A,3314.55,1350.11,EMEA
TXN-00185,2023-08-13,Software,Product B,3455.83,1232.85,North America
TXN-00186,2023-11-03,Software,Product C,645.92,1786.01,North America
TXN-00187,2023-08-22,Hardware,Product C,4695.72,166.47,EMEA
TXN-00188,2023-06-21,Electronics,Product C,946.86,668.52,EMEA
TXN-00189,2023-06-01,Electronics,Product B,3132.63,504.09,EMEA
TXN-00190,2023-11-11,Software,Product B,1152.25,1976.15,EMEA
TXN-00191,2023-06-09,Electronics,Product A,1570.72,784.89,APAC
TXN-00192,2023-04-06,Hardware,Product C,2754.97,1467.9,North America
TXN-00193,2023-08-21,Electronics,Product B,2115.11,1372.6,APAC
TXN-00194,2023-06-29,Software,Product C,843.12,432.04,EMEA
TXN-00195,2023-04-23,Hardware,Product C,896.14,485.61,APAC
TXN-00196,2023-11-14,Electronics,Product A,2119.82,569.76,APAC
TXN-00197,2023-02-21,Consulting,Product A,3798.55,828.14,North America
TXN-00198,2023-09-25,Hardware,Product A,4494.93,476.31,APAC
TXN-00199,2023-10-22,Hardware,Product A,466.43,49.11,North America
TXN-00200,2023-04-23,Consulting,Product C,,1759.99,
TXN-00201,2023-04-11,Consulting,Product A,546.22,1931.56,APAC
TXN-00202,2023-04-23,Hardware,Product A,132.13,689.73,EMEA
TXN-00203,2023-03-22,Consulting,Product A,3325.51,683.63,North America
TXN-00204,2023-07-06,Software,Product A,3032.12,24.11,EMEA
TXN-00205,2023-04-23,Software,Product C,856.94,1363.7,EMEA
TXN-00206,2023-01-02,Software,Product A,1207.37,1652.63,North America
TXN-00207,2023-05-10,Hardware,Product C,167.35,301.75,EMEA
TXN-00208,2023-08-08,Consulting,Product B,4182.99,327.74,EMEA
TXN-00209,2023-02-23,Consulting,Product C,4874.72,1582.27,EMEA
TXN-00210,2023-12-09,Electronics,Product C,720.52,1236.42,APAC
TXN-00211,2023-08-12,Electronics,Product A,1195.8,99.27,EMEA
TXN-00212,2023-08-13,Consulting,Product B,4348.63,1248.87,North America
TXN-00213,2023-05-06,Consulting,Product B,4636.0,624.75,APAC
TXN-00214,2023-05-10,Consulting,Product B,2127.16,743.76,APAC
TXN-00215,2023-02-22,Hardware,Product B,300.58,1541.77,North America
TXN-00216,2023-06-21,Consulting,Product C,244.99,1623.76,EMEA
TXN-00217,2023-08-06,Electronics,Product B,2891.05,806.71,APAC
TXN-00218,2023-06-09,Hardware,Product C,1994.83,1894.83,APAC
TXN-00219,2023-07-17,Consulting,Product C,191.83,818.86,APAC
TXN-00220,2023-09-04,Electronics,Product C,2937.1,1545.95,EMEA
TXN-00221,2023-11-20,Hardware,Product B,105.95,972.92,APAC
TXN-00222,2023-07-22,Consulting,Product A,3947.49,1796.09,North America
TXN-00223,2023-07-03,Consulting,Product A,1566.84,1816.44,EMEA
TXN-00224,2023-05-03,Consulting,Product B,249.28,183.96,North America
TXN-00225,2023-09-12,Hardware,Product A,2962.34,1873.62,North America
TXN-00226,2023-10-21,Electronics,Product A,2018.54,1652.81,APAC
TXN-00227,2023-10-07,Electronics,Product C,4870.31,1584.71,APAC
TXN-00228,2023-11-21,Software,Product C,2743.78,409.81,APAC
TXN-00229,2023-04-08,Consulting,Product B,1412.43,1612.19,North America
TXN-00230,2023-07-17,Software,Product B,3561.72,1701.76,EMEA
TXN-00231,2023-08-28,Software,Product A,1393.89,585.41,APAC
TXN-00232,2023-05-24,Electronics,Product C,4526.0,1905.0,APAC
TXN-00233,2023-04-07,Hardware,Product B,1904.87,109.22,North America
TXN-00234,2023-07-20,Hardware,Product B,2771.85,308.32,EMEA
TXN-00235,2023-05-04,Electronics,Product B,300.34,1079.79,North America
TXN-00236,2023-07-06,Hardware,Product B,2159.3,1155.83,APAC
TXN-00237,2023-11-22,Software,Product B,4170.2,1293.85,North America
TXN-00238,2023-12-15,Consulting,Product B,4037.96,43.77,APAC
TXN-00239,2023-09-16,Electronics,Product A,1160.38,1921.13,EMEA
TXN-00240,2023-05-28,Consulting,Product C,1169.09,98.73,North America
TXN-00241,2023-09-09,Hardware,Product C,4095.66,294.69,APAC
TXN-00242,2023-12-12,Consulting,Product B,4655.47,37.89,APAC
TXN-00243,2023-05-27,Hardware,Product C,522.04,1138.05,APAC
TXN-00244,2023-05-28,Hardware,Product C,2277.79,1865.21,APAC
TXN-00245,2023-12-18,Software,Product C,1720.4,1335.23,North America
TXN-00246,2023-07-18,Hardware,Product B,4359.91,1647.09,APAC
TXN-00247,2023-11-04,Software,Product B,463.45,36.43,North America
TXN-00248,2023-05-08,Software,Product C,1095.07,1088.61,APAC
TXN-00249,2023-02-08,Software,Product C,3774.72,924.53,North America
TXN-00250,2023-12-04,Electronics,Product B,,1002.95,North America
TXN-00251,2023-12-26,Electronics,Product A,2488.05,153.7,APAC
TXN-00252,2023-05-09,Hardware,Product C,2238.43,1372.03,APAC
TXN-00253,2023-09-24,Software,Product A,1705.29,1011.41,APAC
TXN-00254,2023-05-31,Electronics,Product C,2003.13,1532.65,APAC
TXN-00255,2023-10-25,Software,Product A,2673.21,975.73,EMEA
TXN-00256,2023-04-09,Consulting,Product A,848.77,307.27,APAC
TXN-00257,2023-09-20,Consulting,Product A,2881.38,1300.03,APAC
TXN-00258,2023-09-09,Consulting,Product B,4036.89,353.05,APAC
TXN-00259,2023-05-24,Hardware,Product A,3812.8,1746.07,North America
TXN-00260,2023-12-12,Software,Product A,811.8,1230.1,APAC
TXN-00261,2023-04-22,Consulting,Product A,788.78,322.84,North America
TXN-00262,2023-03-01,Electronics,Product C,1377.46,1925.05,North America
TXN-00263,2023-01-02,Consulting,Product A,1837.32,1041.55,North America
TXN-00264,2023-10-31,Consulting,Product C,2071.86,155.07,North America
TXN-00265,2023-09-11,Consulting,Product A,3414.5,1257.4,EMEA
TXN-00266,2023-05-20,Hardware,Product A,330.57,513.87,APAC
TXN-00267,2023-02-06,Electronics,Product B,221.63,1609.35,North America
TXN-00268,2023-06-09,Software,Product C,1989.96,1637.47,APAC
TXN-00269,2023-01-09,Electronics,Product A,3500.96,1958.11,North America
TXN-00270,2023-08-21,Software,Product C,1007.5,1008.72,EMEA
TXN-00271,2023-04-09,Hardware,Product C,3225.45,915.36,North America
TXN-00272,2023-05-27,Hardware,Product B,1336.15,1509.42,APAC
TXN-00273,2023-10-31,Hardware,Product B,4436.13,273.62,APAC
TXN-00274,2023-07-27,Hardware,Product B,4483.67,1098.36,EMEA
TXN-00275,2023-05-11,Software,Product B,1521.57,1097.03,APAC
TXN-00276,2023-06-01,Consulting,Product B,1188.47,188.05,APAC
